OBJECTID,MES,SEMBRADO,PREPARADO,SV,POINT_X,POINT_Y,B3,B4,B8,B11,NDVI,NDMI,STATUS,HUMEDAD,TEMPERATUR,HUM_ORD,TEMP_ORD,MES_ORD,STATUS_ORD
542,ENERO,0,1,0,-100.2745866,20.71384636,1147.216667,1223.708333,1739.6,2391.216667,0.191289,-0.181314,PREPARADO,BAJA,BAJA,1,3,1,2
543,ENERO,0,1,0,-100.2876737,20.71372739,1206.633333,1308.325,1843.733333,2196.358333,0.175828,-0.122945,PREPARADO,BAJA,BAJA,1,3,1,2
544,ENERO,0,1,0,-100.2871383,20.71229971,1149.225,1222.216667,1743.35,2095.25,0.199502,-0.118987,PREPARADO,BAJA,BAJA,1,3,1,2
545,ENERO,0,1,0,-100.2704226,20.70599414,1018.633333,970.9833333,2405.566667,2397.783333,0.415595,-0.00518265,PREPARADO,BAJA,BAJA,1,3,1,2
546,ENERO,0,1,0,-100.2720287,20.70498287,1091.3,1143.283333,2206.766667,2434.75,0.312071,-0.0537898,PREPARADO,BAJA,BAJA,1,3,1,2
547,ENERO,0,1,0,-100.270601,20.70468544,1108.9,1215.583333,1973.6,2534.083333,0.240938,-0.126302,PREPARADO,BAJA,BAJA,1,3,1,2
548,ENERO,0,1,0,-100.2782748,20.69861781,1013.866667,1023.866667,2009.45,1970.25,0.309652,-0.0100966,PREPARADO,BAJA,BAJA,1,3,1,2
549,ENERO,0,1,0,-100.2776799,20.69980754,983.3666667,939.9833333,2166.433333,1900.933333,0.378479,0.0448864,PREPARADO,BAJA,BAJA,1,3,1,2
550,ENERO,0,1,0,-100.2109717,20.7591513,1021.183333,1025.741667,1621.983333,1727.775,0.248976,-0.0570768,PREPARADO,BAJA,BAJA,1,3,1,2
551,ENERO,0,1,0,-100.2344808,20.63370612,979.15,990.8166667,2015.25,1977.033333,0.347189,0.0128782,PREPARADO,BAJA,BAJA,1,3,1,2
552,ENERO,0,1,0,-100.2339097,20.61333793,944.7,982.6833333,1374.65,1637.9,0.162336,-0.0970044,PREPARADO,BAJA,BAJA,1,3,1,2
553,ENERO,0,1,0,-100.2332435,20.61086329,943.8,950.7833333,1683.1,1670.566667,0.25549,-0.0212688,PREPARADO,BAJA,BAJA,1,3,1,2
554,ENERO,0,1,0,-100.216968,20.62047631,881.2857143,894.0714286,1152.160714,1759.142857,0.119098,-0.216626,PREPARADO,BAJA,BAJA,1,3,1,2
555,ENERO,0,1,0,-100.2164921,20.61781132,1035.729167,1064.5625,1702.104167,2138.5,0.221506,-0.123745,PREPARADO,BAJA,BAJA,1,3,1,2
334,FEBRERO,0,0,1,-100.2755291,20.74969194,1506.8625,1696.7875,2326.25,2875.2,0.16799,-0.118862,INACTIVO,BAJA,BAJA,1,3,2,1
335,FEBRERO,0,0,1,-100.2948623,20.71764437,1339.275,1429.025,2386.7,2593.975,0.243522,-0.083911,INACTIVO,BAJA,BAJA,1,3,2,1
336,FEBRERO,0,0,1,-100.2989743,20.72357322,1252.2625,1361.55,2070.925,2474.2,0.226874,-0.0982847,INACTIVO,BAJA,BAJA,1,3,2,1
337,FEBRERO,0,0,1,-100.300402,20.71929019,1412.4,1602.35,2174.7875,2792.7,0.156209,-0.142819,INACTIVO,BAJA,BAJA,1,3,2,1
338,FEBRERO,1,0,0,-100.3370076,20.74144773,1108.55,998.35,3674.5375,1835.65,0.571537,0.332677,SEMBRADO,BAJA,BAJA,1,3,2,3
339,FEBRERO,1,0,0,-100.3356371,20.74498837,1027.05,910.775,3274.5875,1880.3875,0.528989,0.22318,SEMBRADO,BAJA,BAJA,1,3,2,3
340,FEBRERO,1,0,0,-100.3351231,20.74641604,1007.6375,851.4,3498.9625,1812.1375,0.553439,0.251098,SEMBRADO,BAJA,BAJA,1,3,2,3
341,FEBRERO,1,0,0,-100.3331243,20.74601629,1097.875,1020.7875,2786.6625,1881.4375,0.44003,0.167849,SEMBRADO,BAJA,BAJA,1,3,2,3
342,FEBRERO,1,0,0,-100.2613327,20.54501589,1496.25,1301.791667,5236.333333,2144.916667,0.682291,0.465972,SEMBRADO,BAJA,BAJA,1,3,2,3
343,FEBRERO,1,0,0,-100.2606189,20.54858508,1455.791667,1267.625,4814.291667,2067.916667,0.670345,0.444874,SEMBRADO,BAJA,BAJA,1,3,2,3
344,FEBRERO,1,0,0,-100.2584773,20.54216053,1553.541667,1348.708333,4976.125,2129.125,0.667913,0.453031,SEMBRADO,BAJA,BAJA,1,3,2,3
345,FEBRERO,1,0,0,-100.2342068,20.53906724,1462.014286,1478.657143,2782.428571,2018.042857,0.384805,0.19515,SEMBRADO,BAJA,BAJA,1,3,2,3
346,FEBRERO,1,0,0,-100.1961355,20.52479047,1106.487013,834.4350649,4778.902597,1674.201299,0.744355,0.494361,SEMBRADO,BAJA,BAJA,1,3,2,3
347,FEBRERO,1,0,0,-100.198277,20.52633712,1109.103896,860.8506494,4328.785714,1553.350649,0.719989,0.493885,SEMBRADO,BAJA,BAJA,1,3,2,3
348,FEBRERO,1,0,0,-100.1999426,20.52526636,1084.155844,823.2532468,4148.512987,1477,0.718157,0.501219,SEMBRADO,BAJA,BAJA,1,3,2,3
349,FEBRERO,1,0,0,-100.1838812,20.52693198,1075.655844,778.3376623,4357.87013,1591.61039,0.741769,0.490823,SEMBRADO,BAJA,BAJA,1,3,2,3
350,FEBRERO,1,0,0,-100.1975631,20.53680675,1178.837662,851.9285714,4467.435065,2316.266234,0.703239,0.315972,SEMBRADO,BAJA,BAJA,1,3,2,3
351,FEBRERO,1,0,0,-100.2002995,20.55072659,1151.603896,884.6623377,4229.857143,1618.980519,0.716963,0.486225,SEMBRADO,BAJA,BAJA,1,3,2,3
352,FEBRERO,1,0,0,-100.2043446,20.56714488,1238.077922,1014.766234,3318.883117,1515.798701,0.625951,0.429063,SEMBRADO,BAJA,BAJA,1,3,2,3
353,FEBRERO,1,0,0,-100.2050584,20.56869152,1215.006494,997.2792208,3725.636364,1606.383117,0.671855,0.452388,SEMBRADO,BAJA,BAJA,1,3,2,3
354,FEBRERO,1,0,0,-100.2447954,20.57690067,1524.083333,1482.375,3452.125,2426.583333,0.390877,0.115605,SEMBRADO,BAJA,BAJA,1,3,2,3
355,FEBRERO,1,0,0,-100.2442006,20.57797142,1490.833333,1225.458333,4530.291667,2415.708333,0.654784,0.326309,SEMBRADO,BAJA,BAJA,1,3,2,3
356,FEBRERO,1,0,0,-100.2453903,20.5855857,1846.125,1662.166667,4489.75,2508.875,0.562458,0.338551,SEMBRADO,BAJA,BAJA,1,3,2,3
357,FEBRERO,1,0,0,-100.2679634,20.64341868,1539.5,1553.875,3145.791667,2397.583333,0.350326,0.113609,SEMBRADO,BAJA,BAJA,1,3,2,3
358,FEBRERO,1,0,0,-100.266155,20.64541742,1603.583333,1615.958333,3246.083333,2472.416667,0.339902,0.104132,SEMBRADO,BAJA,BAJA,1,3,2,3
359,FEBRERO,1,0,0,-100.2596829,20.66959275,1268,1226,2684.416667,1938.833333,0.333237,0.117717,SEMBRADO,BAJA,BAJA,1,3,2,3
360,FEBRERO,1,0,0,-100.2584455,20.6724481,1226.833333,1159.958333,2607.208333,1816.166667,0.33124,0.116275,SEMBRADO,BAJA,BAJA,1,3,2,3
361,FEBRERO,1,0,0,-100.2196841,20.65558565,1383.666667,1264.958333,3697.958333,2370.916667,0.56002,0.248226,SEMBRADO,BAJA,BAJA,1,3,2,3
362,FEBRERO,0,0,1,-100.2810147,20.66087996,1315.916667,1409.708333,1655.541667,1997.25,0.0951866,-0.0985697,INACTIVO,BAJA,BAJA,1,3,2,1
363,FEBRERO,0,0,1,-100.2817881,20.65992817,1513.958333,1614.416667,1839.166667,2214.416667,0.0914516,-0.117954,INACTIVO,BAJA,BAJA,1,3,2,1
364,FEBRERO,0,0,1,-100.2788137,20.65748922,1201.5,1265.208333,1442.875,1798.625,0.0749293,-0.134825,INACTIVO,BAJA,BAJA,1,3,2,1
365,FEBRERO,1,0,0,-100.2339696,20.6817629,1356.166667,1220.208333,3672.416667,2484.791667,0.573318,0.211288,SEMBRADO,BAJA,BAJA,1,3,2,3
366,FEBRERO,1,0,0,-100.22883,20.68182001,1372.458333,1290.333333,3460.541667,2767.791667,0.50102,0.120786,SEMBRADO,BAJA,BAJA,1,3,2,3
367,FEBRERO,1,0,0,-100.2270216,20.67854587,1417.208333,1302.208333,3718.958333,2658.041667,0.535306,0.176418,SEMBRADO,BAJA,BAJA,1,3,2,3
368,FEBRERO,1,0,0,-100.228592,20.67826033,1516.375,1430.25,3837.416667,2783.166667,0.523735,0.173551,SEMBRADO,BAJA,BAJA,1,3,2,3
369,FEBRERO,0,0,1,-100.2450954,20.69629486,1331.5,1439.708333,1998.375,2378.5,0.143219,-0.137824,INACTIVO,BAJA,BAJA,1,3,2,1
370,FEBRERO,1,0,0,-100.3449107,20.74753908,1199.575,1104.2625,3426.6625,2595.2125,0.531935,0.14082,SEMBRADO,BAJA,BAJA,1,3,2,3
371,FEBRERO,1,0,0,-100.3462242,20.74622561,1168.85,1046.2125,3187.3,2411.125,0.522065,0.126949,SEMBRADO,BAJA,BAJA,1,3,2,3
372,FEBRERO,1,0,0,-100.3562179,20.74508347,907.425,682.875,2966.55,1802.6375,0.624899,0.240052,SEMBRADO,BAJA,BAJA,1,3,2,3
373,FEBRERO,1,0,0,-100.3530199,20.74005805,1146.7625,1050.4125,2977.1375,2339.075,0.496382,0.118924,SEMBRADO,BAJA,BAJA,1,3,2,3
374,FEBRERO,1,0,0,-100.35519,20.73920145,1160.5,1245.975,2484.7625,2527.8625,0.344444,-0.0132518,SEMBRADO,BAJA,BAJA,1,3,2,3
375,FEBRERO,1,0,0,-100.3614718,20.75770413,972.375,701.85,3627.275,1876.375,0.683351,0.313754,SEMBRADO,BAJA,BAJA,1,3,2,3
376,FEBRERO,1,0,0,-100.3601012,20.76141609,1090.9,1043.95,2288.475,2098.5875,0.327034,-0.00564338,SEMBRADO,BAJA,BAJA,1,3,2,3
377,FEBRERO,1,0,0,-100.2193639,20.75878196,1510.25,1447.85,3666.025,2756.1,0.499366,0.157096,SEMBRADO,BAJA,BAJA,1,3,2,3
378,FEBRERO,1,0,0,-100.2165085,20.75778259,1417.4875,1326.2625,3871.3875,2772.0375,0.51621,0.169644,SEMBRADO,BAJA,BAJA,1,3,2,3
379,FEBRERO,1,0,0,-100.2198636,20.75714013,1290.75,1155.325,3676.0125,2437.975,0.548206,0.199731,SEMBRADO,BAJA,BAJA,1,3,2,3
380,FEBRERO,1,0,0,-100.1999118,20.76898985,1268.375,1231.375,2892.525,2511.9375,0.372089,0.013617,SEMBRADO,BAJA,BAJA,1,3,2,3
381,FEBRERO,1,0,0,-100.1870627,20.7643499,1221.025,1056.025,3726.4625,1730.3125,0.63236,0.422561,SEMBRADO,BAJA,BAJA,1,3,2,3
